epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,36.2775,2.27371,2.97744,1.23914,0.30576,0.39149,0.28463,0.15207,2.02985,1.86232,1.14643,0.000471211,0.000471211,0.000471211
2,70.6702,2.08613,1.84715,1.13931,0.29346,0.43326,0.31063,0.17143,1.9837,1.65668,1.17799,0.000928783,0.000928783,0.000928783
3,105.977,2.0739,1.67084,1.14816,0.36738,0.53055,0.40675,0.23058,1.89263,1.58445,1.15015,0.00136749,0.00136749,0.00136749
4,140.806,2.04203,1.52358,1.15318,0.51223,0.55923,0.49004,0.27422,1.90186,1.44687,1.13194,0.00134412,0.00134412,0.00134412
5,175.542,1.93429,1.73796,1.09434,0.45564,0.61752,0.53078,0.31377,1.80916,1.3082,1.11247,0.00131582,0.00131582,0.00131582
6,210.494,1.95903,1.46102,1.11824,0.5178,0.62171,0.54554,0.32241,1.79726,1.29887,1.11051,0.00128753,0.00128753,0.00128753
7,245.286,1.95986,1.39312,1.10423,0.54093,0.57041,0.53966,0.32033,1.78923,1.31278,1.10136,0.00125923,0.00125923,0.00125923
8,280.18,1.90095,1.3729,1.09998,0.55908,0.61999,0.58747,0.35788,1.75936,1.27333,1.10951,0.00123094,0.00123094,0.00123094
9,315.511,1.91454,1.32806,1.09203,0.55077,0.63018,0.58708,0.34616,1.79993,1.23899,1.11148,0.00120265,0.00120265,0.00120265
10,349.679,1.84096,1.32289,1.09076,0.68702,0.61103,0.65008,0.38395,1.77722,1.20793,1.11194,0.00117435,0.00117435,0.00117435
11,385.261,1.84847,1.25504,1.08846,0.65483,0.66327,0.66316,0.39622,1.78353,1.26823,1.11536,0.00114606,0.00114606,0.00114606
12,420.071,1.8443,1.30945,1.09131,0.71307,0.62763,0.66593,0.39835,1.8303,1.22242,1.11855,0.00111776,0.00111776,0.00111776
13,454.961,1.81657,1.23274,1.08887,0.60831,0.72191,0.67702,0.41226,1.7259,1.11825,1.10145,0.00108947,0.00108947,0.00108947
14,489.854,1.82839,1.29269,1.07447,0.6422,0.62858,0.64148,0.38747,1.75406,1.19866,1.09982,0.00106118,0.00106118,0.00106118
15,524.107,1.8384,1.22041,1.09042,0.71559,0.61546,0.67866,0.41686,1.72694,1.15341,1.10285,0.00103288,0.00103288,0.00103288
16,558.614,1.78284,1.19803,1.08593,0.69924,0.63154,0.69711,0.43091,1.70765,1.10697,1.08933,0.00100459,0.00100459,0.00100459
17,592.744,1.80022,1.20348,1.08701,0.6553,0.68648,0.70139,0.43315,1.71995,1.12742,1.09071,0.000976293,0.000976293,0.000976293
18,627.432,1.76405,1.16694,1.06305,0.73684,0.67202,0.72565,0.44929,1.7141,1.11749,1.09105,0.000947999,0.000947999,0.000947999
19,661.873,1.76211,1.35541,1.06157,0.68658,0.69613,0.71377,0.43435,1.70028,1.09259,1.08428,0.000919704,0.000919704,0.000919704
20,696.641,1.77177,1.14003,1.06398,0.66787,0.64274,0.68277,0.41861,1.73549,1.11343,1.10084,0.00089141,0.00089141,0.00089141
21,730.918,1.77952,1.16809,1.07896,0.69339,0.66418,0.70996,0.42877,1.76624,1.10808,1.10696,0.000863116,0.000863116,0.000863116
22,765.41,1.74002,1.1148,1.04916,0.68287,0.65915,0.69823,0.42783,1.70993,1.15687,1.09831,0.000834822,0.000834822,0.000834822
23,799.97,1.75001,1.0965,1.05222,0.75149,0.65221,0.73021,0.44926,1.7119,1.08304,1.09551,0.000806528,0.000806528,0.000806528
24,834.397,1.72966,1.10289,1.05821,0.65517,0.65838,0.71729,0.43419,1.71479,1.11455,1.09883,0.000778233,0.000778233,0.000778233
25,868.59,1.7151,1.09376,1.04461,0.65668,0.70076,0.69671,0.40721,1.77602,1.11448,1.12134,0.000749939,0.000749939,0.000749939
26,903.114,1.74845,1.10525,1.06009,0.70386,0.65069,0.6846,0.40984,1.76833,1.06599,1.1115,0.000721645,0.000721645,0.000721645
27,937.295,1.69779,1.07303,1.04816,0.6924,0.6817,0.70272,0.42647,1.71431,1.06202,1.09157,0.000693351,0.000693351,0.000693351
28,971.688,1.71213,1.10309,1.06472,0.7181,0.68486,0.73366,0.44356,1.74975,1.0519,1.10587,0.000665057,0.000665057,0.000665057
29,1005.6,1.7077,1.05574,1.0449,0.65434,0.70823,0.74153,0.45508,1.69123,1.03272,1.08478,0.000636762,0.000636762,0.000636762
30,1040.35,1.71896,1.05072,1.05111,0.73998,0.65803,0.73312,0.44512,1.7289,1.03412,1.106,0.000608468,0.000608468,0.000608468
31,1074.33,1.72563,1.04253,1.05555,0.70892,0.66948,0.72279,0.44041,1.69718,1.01437,1.08918,0.000580174,0.000580174,0.000580174
32,1108.66,1.7125,1.03487,1.04989,0.71481,0.70106,0.71153,0.43512,1.69588,1.04721,1.091,0.00055188,0.00055188,0.00055188
33,1142.42,1.68759,1.04131,1.04265,0.71931,0.65687,0.71755,0.43476,1.71138,1.03593,1.08889,0.000523586,0.000523586,0.000523586
34,1177.05,1.68575,1.04091,1.04012,0.69395,0.66395,0.70209,0.4376,1.68797,1.01869,1.08476,0.000495291,0.000495291,0.000495291
35,1211.07,1.68823,1.01169,1.02359,0.65271,0.6556,0.70118,0.42423,1.70987,1.03922,1.09729,0.000466997,0.000466997,0.000466997
36,1245.94,1.71427,1.04611,1.05293,0.70584,0.671,0.70413,0.43137,1.72738,1.03606,1.09885,0.000438703,0.000438703,0.000438703
37,1280.29,1.68666,1.02116,1.04271,0.74229,0.65376,0.73668,0.45461,1.69715,1.00767,1.09054,0.000410409,0.000410409,0.000410409
38,1314.67,1.6581,0.99749,1.04321,0.64505,0.68494,0.72302,0.44255,1.68612,1.02742,1.08027,0.000382115,0.000382115,0.000382115
39,1349.4,1.65897,0.98973,1.03191,0.71214,0.69342,0.74053,0.45309,1.67806,0.99432,1.07886,0.00035382,0.00035382,0.00035382
40,1383.19,1.6586,0.97496,1.03174,0.69553,0.63969,0.73482,0.45496,1.65299,0.98029,1.07194,0.000325526,0.000325526,0.000325526
41,1416.61,1.64735,1.0115,1.05215,0.72203,0.64268,0.70872,0.43223,1.67784,1.03862,1.08051,0.000297232,0.000297232,0.000297232
42,1449.83,1.62734,0.98544,1.04007,0.7117,0.63779,0.70498,0.43331,1.68217,1.02059,1.08184,0.000268938,0.000268938,0.000268938
43,1483.48,1.6232,0.98833,1.04185,0.73204,0.59692,0.69721,0.42044,1.70095,1.04166,1.0917,0.000240644,0.000240644,0.000240644
44,1516.73,1.60982,0.96236,1.04161,0.73168,0.64706,0.7238,0.44345,1.71679,1.00325,1.09546,0.000212349,0.000212349,0.000212349
45,1550.25,1.60916,0.96788,1.03975,0.72676,0.64069,0.72601,0.45279,1.67273,1.00758,1.08058,0.000184055,0.000184055,0.000184055
46,1583.88,1.59596,0.94065,1.03101,0.70955,0.66038,0.72224,0.44519,1.69064,0.99356,1.08452,0.000155761,0.000155761,0.000155761
47,1617.6,1.63847,0.98364,1.05339,0.70268,0.69006,0.73301,0.45569,1.67355,0.974,1.07979,0.000127467,0.000127467,0.000127467
48,1653.32,1.5666,0.92237,1.03302,0.74896,0.64662,0.72885,0.45392,1.67909,0.98547,1.08371,9.91726e-05,9.91726e-05,9.91726e-05
49,1687.14,1.5918,0.9292,1.03119,0.73501,0.64737,0.72694,0.45222,1.67879,0.97876,1.08232,7.08784e-05,7.08784e-05,7.08784e-05
50,1720.5,1.57855,0.9223,1.04073,0.6781,0.68921,0.7265,0.45499,1.67534,0.9812,1.08152,4.25842e-05,4.25842e-05,4.25842e-05
