epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,83.5626,2.07875,2.80412,1.33456,0.32397,0.46625,0.28442,0.15687,1.94662,2.00262,1.2714,0.000471211,0.000471211,0.000471211
2,166.915,1.89643,1.81744,1.23195,0.43079,0.56479,0.46242,0.25553,1.8315,1.56154,1.26903,0.000938164,0.000938164,0.000938164
3,252.3,1.88543,1.68035,1.25239,0.74862,0.36089,0.41837,0.23551,1.76438,1.57178,1.23972,0.00139569,0.00139569,0.00139569
4,335.36,1.82683,1.57571,1.22883,0.56206,0.54278,0.51658,0.30523,1.80059,1.49306,1.2431,0.00138656,0.00138656,0.00138656
5,418.703,1.80081,1.80663,1.19656,0.57983,0.609,0.56403,0.3414,1.81295,1.45951,1.24405,0.00137241,0.00137241,0.00137241
6,502.216,1.83671,1.54323,1.23211,0.5369,0.66104,0.57617,0.34536,1.80843,1.39513,1.23715,0.00135826,0.00135826,0.00135826
7,585.134,1.80251,1.47282,1.19517,0.56214,0.57759,0.52927,0.33092,1.71412,1.42553,1.1996,0.00134412,0.00134412,0.00134412
8,667.321,1.77693,1.44164,1.18966,0.56517,0.59366,0.54684,0.328,1.75318,1.38797,1.24766,0.00132997,0.00132997,0.00132997
9,748.852,1.76826,1.3627,1.18137,0.60149,0.69174,0.64402,0.3923,1.74612,1.25744,1.24044,0.00131582,0.00131582,0.00131582
10,831.089,1.75452,1.39767,1.19572,0.56194,0.6728,0.61591,0.35351,1.75537,1.33154,1.25779,0.00130168,0.00130168,0.00130168
11,912.487,1.76335,1.31068,1.19574,0.554,0.68721,0.67441,0.42163,1.68716,1.33787,1.20186,0.00128753,0.00128753,0.00128753
12,993.879,1.72941,1.33022,1.18257,0.65373,0.68466,0.70113,0.431,1.74315,1.33876,1.24567,0.00127338,0.00127338,0.00127338
13,1075.41,1.71533,1.25998,1.17726,0.64339,0.70626,0.70413,0.4464,1.69668,1.1846,1.18521,0.00125923,0.00125923,0.00125923
14,1157.43,1.72635,1.27828,1.16277,0.7102,0.67651,0.69287,0.43091,1.71623,1.17727,1.22471,0.00124509,0.00124509,0.00124509
15,1238.49,1.7383,1.22659,1.18367,0.65213,0.6887,0.71219,0.44268,1.73935,1.22709,1.2055,0.00123094,0.00123094,0.00123094
16,1319.81,1.70133,1.22194,1.18532,0.72194,0.65168,0.71173,0.4385,1.69647,1.15662,1.20017,0.00121679,0.00121679,0.00121679
