epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,18.2951,1.64108,3.7769,1.41029,0.00322,0.13671,0.00719,0.00266,1.35307,3.79282,1.23227,0.000469808,0.000469808,0.000469808
2,36.6323,1.6854,3.0031,1.34807,0.31188,0.52147,0.26792,0.14776,1.64418,2.74707,1.4125,0.000936775,0.000936775,0.000936775
3,54.3627,1.68476,2.64021,1.34631,0.41834,0.43923,0.2853,0.15969,1.55648,5.73458,1.33708,0.00139431,0.00139431,0.00139431
4,74.1325,1.67962,2.40737,1.31808,0.30134,0.48329,0.28568,0.16255,1.59576,2.39853,1.26479,0.00138656,0.00138656,0.00138656
5,94.9393,1.66373,2.43859,1.29357,0.26229,0.40833,0.26347,0.15385,1.53544,2.63578,1.2047,0.00137241,0.00137241,0.00137241
6,114.341,1.71415,2.44817,1.30791,0.2776,0.45199,0.28451,0.16436,1.50375,2.26241,1.19458,0.00135826,0.00135826,0.00135826
7,133.164,1.61275,2.26872,1.26287,0.26512,0.44934,0.29258,0.16203,1.49342,2.18515,1.24576,0.00134412,0.00134412,0.00134412
8,151.908,1.57527,2.18265,1.28765,0.32131,0.43397,0.32076,0.1859,1.48236,2.17102,1.25994,0.00132997,0.00132997,0.00132997
9,170.879,1.53901,2.51267,1.28231,0.37494,0.42393,0.34925,0.19281,1.52288,2.14584,1.30681,0.00131582,0.00131582,0.00131582
10,189.581,1.60873,2.15166,1.35924,0.38071,0.36632,0.32327,0.18414,1.5328,2.19678,1.33908,0.00130168,0.00130168,0.00130168
11,208.928,1.54878,2.23692,1.33744,0.38067,0.46291,0.40791,0.22369,1.51801,1.97934,1.32415,0.00128753,0.00128753,0.00128753
12,228.444,1.54023,2.33586,1.3202,0.43066,0.50194,0.41712,0.22819,1.53777,1.94991,1.31265,0.00127338,0.00127338,0.00127338
